



"Name","Beitrags-ID","Themenschwerpunkte","Ort","Textkörper","Personenkategorie","Länder & Regionen"
"Theo Bruns","852","","","","Ständige Mitarbeiter*in",""
"Bettina Bremme","853","","","","Autor*in",""
"Christine Schmelzle","854","","","","Autor*in",""
"Michael Faber","855","","","","Autor*in",""
"Till Kadritzke","856","","","","Autor*in",""
"Franco Weis","857","","","","Autor*in",""
"Philipp Gerber","858","","","","Autor*in",""
"Friederike Habermann","859","","","","Autor*in",""
"Tatiana Roa","860","","","","Autor*in",""
"Ingrid Spiller","861","","","","Autor*in",""
"Jorge Villareal","862","","","","Autor*in",""
"Felix Werdermann","863","","","","Autor*in",""
"Anne Knab","864","","","","Autor*in",""
"Pedro Holz","865","","","","Autor*in",""
"Isabel Cárcamo","866","","","","Autor*in",""
"Frank Braßel","867","","","","Autor*in",""
"Kristofer Lengert","868","","","","Autor*in",""
"Harald Ihmig","869","","","","Autor*in",""
"Daniel Silva","870","","","","Autor*in",""
"Christian Russau","871","","","","Autor*in",""
"Thomas Fatheuer","872","","","","Autor*in",""
"Janne Brüheim","873","","","","Autor*in",""
"Valentin Senft","874","","","","Autor*in",""
"Matze Jung","875","","","","Autor*in",""
"Franziska Otto","876","","","","Autor*in",""
"Bettina  Hoyer","877","","","","Autor*in",""
"Beatriz Brinkmann","878","","","","Autor*in",""
"Sandra Lassak","879","","","","Autor*in",""
"Mario Suárez Simich","880","","","","Autor*in",""
"Zeljko Crncic","881","","","","Autor*in",""
"Ilan Halevi","883","","","","Autor*in",""
"Andrés Renna","884","","","","Autor*in",""
"Raúl Zibechi","885","","","","Autor*in",""
"Daphne Ebner","886","","","","Autor*in",""
"Martin Mäusezahl","887","","","","Autor*in",""
"Malte Meyer","888","","","","Autor*in",""
"Roberto Frankenthal","889","","","","Ständige Mitarbeiter*in",""
"Heinz Reinke","890","","","","Autor*in",""
"Hauke Benner","891","","","","Autor*in",""
"Lizette Jacinto","892","","","","Autor*in",""
"Claudia Niesen","893","","","","Autor*in",""
"Francisco Hidalgo Flor","894","","","","Autor*in",""
"Hanno Bruchmann","895","","","","Autor*in",""
"Luz Kerkeling","896","","","","Autor*in",""
"Benjamin Bunk","897","","","","Autor*in",""
"Kirsten Bredenbeck","898","","","","Autor*in",""
"Klaus Meschkat","899","","","","Autor*in",""
"Mario Unda","900","","","","Autor*in",""
"Barbara Scholz","901","","","","Autor*in",""
"Jürgen Tönnesen","902","","","","Autor*in",""
"Silke Helfrich","903","","","","Autor*in",""
"Hermann Schmitz","904","","","","Autor*in",""
"Carlos Molina Velásquez","905","","","","Autor*in",""
"Erna Pfeiffer","906","","","","Autor*in",""
"Erich Hackl","907","","","","Autor*in",""
"Klaus Küpper","908","","","","Autor*in",""
"Jutta Bangel","909","","","","Autor*in",""
"Josef Senft","910","","","","Autor*in",""
"Juan Manuel Bueno Soria","919","","","","Autor*in",""
"Lena Voigtländer","923","","","","Redaktionsmitglied",""
"Nilma Bentes","924","","","","Autor*in",""
"Joachim Becker","933","","","","Autor*in",""
"Magdalena Heuwieser","940","","","","Autor*in",""
"Juan José Dalton","941","","","","Autor*in",""
"Hélène Roux","944","","","","Autor*in",""
"Peter Rosset","946","","","","Autor*in",""
"Erika Harzer","950","","","","Autor*in",""
"Günter Pohl","953","","","","Autor*in",""
"Thea Struchtemeier","958","","","","Autor*in",""
"Benjamin Dangl","960","","","","Autor*in",""
"Atilio A. Borón","961","","","","Autor*in",""
"Gerhard Hammerschmied","962","","","","Autor*in",""
"Marc von  Boemcken","974","","","","Autor*in",""
"Martha Zapata Galindo","984","","","","Autor*in",""
"Nelson Camilo Sánchez","985","","","","Autor*in",""
"Bruno Rütsche","986","","","","Autor*in",""
"Johannes Schulten","996","","","","Autor*in",""
"Felix Koltermann","998","","","","Autor*in",""
"Margarita Flórez","1009","","","","Autor*in",""
"Jan Ullrich","1010","","","","Autor*in",""
"Malte Daniljuk","1011","","","","Autor*in",""
"Andreas Hesse","1012","","","","Autor*in",""
"Helmut Reinicke","1018","","","","Autor*in",""
"Rolf Satzer","1023","","","","Autor*in",""
"Juan Tokatlian","1024","","","","Autor*in",""
"Roger Blandino Nerio","1025","","","","Autor*in",""
"Cornelia Gunßer","1026","","","","Autor*in",""
"Sandra Dusch Silva","1037","","","","Autor*in",""
"Thomas M. Schulz","1045","","","","Autor*in",""
"Markus Jobi","1046","","","","Autor*in",""
"Khewiña Sonqho","1059","","","","Autor*in",""
"Manfred Liebel","1068","","","","Ständige Mitarbeiter*in",""
"Myriam Alvarez","1070","","","","Autor*in",""
"Deysi Cheyne","1071","","","","Autor*in",""
"Peter Wahl","1074","","","","Autor*in",""
"Ulrike Purrer Guardado","1075","","","","Autor*in",""
"Annette Fingscheidt","1090","","","","Autor*in",""
"Hildegard Willer","1093","","","","Ständige Mitarbeiter*in",""
"Omar Saavedra Santis","1096","","","","Ständige Mitarbeiter*in",""
"Gregor Kaiser","1101","","","","Autor*in",""
"Stefan Thimmel","1103","","","","Autor*in",""
"Beat Schmidt","1111","","","","Autor*in",""
"Víctor Orozco Orozco","1113","","","","Autor*in",""
"Raúl Flores Simental","1114","","","","Autor*in",""
"Jorge Weiss","1120","","","","Autor*in",""
"Eva Sigrist","1122","","","","Autor*in",""
"Corla Bauer","1123","","","","Autor*in",""
"Margrit Klingler-Clavijo","1124","","","","Autor*in",""
"Miguel Piperno","1137","","","","Autor*in",""
"Martin Keßler","1138","","","","Autor*in",""
"William Bastidas","1140","","","","Autor*in",""
"Carlos Rua","1150","","","","Autor*in",""
"Bettina  Schorr","1157","","","","Autor*in",""
"Angela Reyes","1158","","","","Autor*in",""
"Bernhard Brack-Zahner","1194","","","","Autor*in",""
"Ali Al Nasani","1197","","","","Autor*in",""
"Susanne Bach","1205","","","","Autor*in",""
"Osvaldo Bayer","1206","","","","Autor*in",""
"Marco Appel","1212","","","","Autor*in",""
"Mauricio Rosencof","1227","","","","Autor*in",""
"Danuta Sacher","1229","","","","Redaktionsmitglied",""
"Fritz Pohle","1230","","","","Autor*in",""
"Ulrike Schätte","1231","","","","Autor*in",""
"Sybille Flaschka","1233","","","","Autor*in",""
"Glenn Jäger","1238","","","","Autor*in",""
"Ute Sprenger","1240","","","","Autor*in",""
"Sigmar Walbrecht","1244","","","","Autor*in",""
"Reto Sonderegger","1249","","","","Autor*in",""
"Regina Rahe","1250","","","","Autor*in",""
"Andreas Müller","1251","","","","Autor*in",""
"Helmut Hackfort","1253","","","","Autor*in",""
"Ylonka Tillería","1264","","","","Autor*in",""
"Philip Gondecki","1265","","","","Autor*in",""
"Meike Heckt","1266","","","","Autor*in",""
"Klemens Laschefski","1274","","","","Autor*in",""
"Chris Lang","1275","","","","Autor*in",""
"Jochen Michelbach","1276","","","","Autor*in",""
"Torsten Tullius","1277","","","","Autor*in",""
"Stella Duque","1286","","","","Autor*in",""
"Laura Carlsen","1287","","","","Autor*in",""
"Silke Oldenburg","1294","","","","Autor*in",""
"Kerstin Kastenholz","1295","","","","Autor*in",""
"Stefan Silber","1296","","","","Autor*in",""
"Alejandro Villamar","1304","","","","Autor*in",""
"Nina Küster","1305","","","","Autor*in",""
"Fidel Mingorance","1306","","","","Autor*in",""
"Elisabeth Tuider","1313","","","","Autor*in",""
"Daniel Ernesto Mismahl","1322","","","","Autor*in",""
"Andrés Felipe Galindo Farfán","1346","","","","Autor*in",""
"Antonia Kiene","1347","","","","Autor*in",""
"Erik Arellana Bautista","1354","","","","Autor*in",""
"Sieglinde Fiedler","1364","","","","Autor*in",""
"Irmtrud Wojak","1366","","","","Autor*in",""
"Gustavo Ceballos","1378","","","","Autor*in",""
"Matthias Jäger","1382","","","","Autor*in",""
"Michael Korfmann","1385","","","","Autor*in",""
"Eva Weil","1390","","","","Autor*in",""
"Dorothea Kallenberger","1454","","","","Autor*in",""
"Marisol Díaz","1457","","","","Autor*in",""
"Antônio Inácio Andrioli","1460","","","","Autor*in",""
"Mónica Baltodano","1462","","","","Autor*in",""
"Vera Lehmann","1465","","","","Autor*in",""
"Oliver Matz","1469","","","","Autor*in",""
"Gaby Weber","1475","","","","Autor*in",""
"Bea Busley","1541","","","","Autor*in",""
"Laura Rangel Fonseca","1543","","","","Autor*in",""
"Diana Castillo","1545","","","","Autor*in",""
"Eberhard Raithelhuber","1547","","","","Autor*in",""
"Gerald Raunig","1552","","","","Autor*in",""
"Esther Andradi","1581","","","","Ständige Mitarbeiter*in",""
"Ramiro Escobar La Cruz","1583","","","","Autor*in",""
"Carlos Contreras","1587","","","","Autor*in",""
"Gudrun Kern","1589","","","","Autor*in",""
"Robert Lessmann","1598","","","","Autor*in",""
"Gustavo Vera","1602","","","","Autor*in",""
"Heinz Schulze","1604","","","","Ständige Mitarbeiter*in",""
"  Azozomox","1616","","","","Autor*in",""
"Albert Sterr","1619","","","","Autor*in",""
"Ulrich Brand","1635","","","","Autor*in",""
"Ignacio Pineda","1637","","","","Autor*in",""
"Jens Binder","1639","","","","Autor*in",""
"Jan Walter","1642","","","","Autor*in",""
"Indra Enterlein","1643","","","","Autor*in",""
"Olivier Hoedemann","1649","","","","Autor*in",""
"Satoko Kishimoto","1650","","","","Autor*in",""
"Sandra Mayer","1659","","","","Autor*in",""
"Gert Monheim","1668","","","","Autor*in",""
"Demetrio Polo-Cheva","1670","","","","Autor*in",""
"Katrin Hansing","1673","","","","Autor*in",""
"Hauke Dorsch","1674","","","","Autor*in",""
"Christian Zehnter","1675","","","","Autor*in",""
"Hartmut Löschke","1676","","","","Autor*in",""
"Johannes Augel","1683","","","","Autor*in",""
"Markus Coester","1684","","","","Autor*in",""
"Simone Hantsch","1691","","","","Autor*in",""
"Servando Pineda Jaimes","1694","","","","Autor*in",""
"Rita Laura Segato","1696","","","","Autor*in",""
"Brian Concannon Jr.","1700","","","","Autor*in",""
"Alexandra Urban","1703","","","","Autor*in",""
"Martin Wolpold-Bosien","1708","","","","Autor*in",""
"Dario Azzellini","1712","","","","Autor*in",""
"Klaus Pedersen","1713","","","","Autor*in",""
"Markus Wissen","1716","","","","Autor*in",""
"Karin Fischer","1718","","","","Autor*in",""
"Christof  Parnreiter","1719","","","","Autor*in",""
"Klaus Hart","1721","","","","Autor*in",""
"Christa Widmaier","1725","","","","Autor*in",""
"Günter  Gretz","1732","","","","Autor*in",""
"Feministas en Resistencia","1734","","","","Autor*in",""
"Agencia La Vaca","1735","","","","Autor*in",""
"Tulio Hernández","1737","","","","Autor*in",""
"Andreas Boueke","1742","","","","Autor*in",""
"Anika Oettler","1747","","","","Autor*in",""
"Petra Schlagenhauf","1752","","","","Autor*in",""
"Kollektiv p.i.s.o. 16","1759","","","","Autor*in",""
"Marisela Ortiz","1760","","","","Autor*in",""
"Irene Knoke","1773","","","","Autor*in",""
"Markus Meinzer","1775","","","","Autor*in",""
"Susanne Luithlen","1777","","","","Autor*in",""
"Eduardo Sánchez","1780","","","","Autor*in",""
"Anna Schwachula","1782","","","","Autor*in",""
"Kathrin Zeiske","1787","","","","Autor*in",""
"Lars Frick","1793","","","","Autor*in",""
"Pablo Solón","1820","","","","Autor*in",""
"Gerd Goertz","1821","","","","Autor*in",""
"Viviana Viera","1846","","","","Autor*in",""
"Marian Henn","1851","","","","Autor*in",""
"Carmen Ibáñez","1855","","","","Autor*in",""
"Karina Lange","1871","","","","Autor*in",""
"Benjamín Cuéllar","1891","","","","Autor*in",""
"Juan Pablo Bertazza","1893","","","","Autor*in",""
"Maurice Bishop","1899","","","","Autor*in",""
"Natalia Toledo","1915","","","","Autor*in",""
"Peter-Paul Zahl","1920","","","","Autor*in",""
"Claudia Hernández","1923","","","","Autor*in",""
"Dirk Vogelskamp","1926","","","","Autor*in",""
"Thomas Hohlfeld","1927","","","","Autor*in",""
"Ronald Köpke","1931","","","","Autor*in",""
"Ines Rummel","1937","","","","Autor*in",""
"Fla- K.O.","1938","","","","Autor*in",""
"Elena Richard","1950","","","","Autor*in",""
"Sarah Wollweber","1951","","","","Autor*in",""
"Carlos Flaskamp","1961","","","","Autor*in",""
"Dorit Siemers","1966","","","","Autor*in",""
"Heiko Thiele","1967","","","","Autor*in",""
"Alberto Jerez","1970","","","","Autor*in",""
"Marina Wieland","1971","","","","Autor*in",""
"Dirk Breiholz","2096","","","","Autor*in",""
"Anita Idel","2106","","","","Autor*in",""
"Fernanda Oliveira de Souza","2108","","","","Autor*in",""
"Douglas Estevam da Silva","2109","","","","Autor*in",""
"Moacyr Scliar","2112","","","","Autor*in",""
"Silke Bremer","2118","","","","Autor*in",""
"Carlos Dada","2171","","","","Autor*in",""
"Silke Hensel","2358","","","","Autor*in",""
"Hermann Bellinghausen","2366","","","","Autor*in",""
"Carlos Monsiváis","2367","","","","Autor*in",""
"Jenny Pearce","2496","","","","Autor*in",""
"Rosana Abella","2497","","","","Autor*in",""
"Tatiana Magarinos","2498","","","","Autor*in",""
"Javier Taks","2499","","","","Autor*in",""
"Heidi Kuhles","2759","","","","Autor*in",""
"Robert Reyes Tarazona","3369","","","","Autor*in",""
"Jakob Hilgert","3382","","","","Autor*in",""
"Peter Scheiffele","3386","","","","Autor*in",""
"Egido Sanz","3512","","","","Autor*in",""
"Naomi Rattunde","3553","","","","Redaktionsmitglied",""
"Manuel Eisele","3784","","","","Autor*in",""
"Stephan Suhner","3785","","","","Autor*in",""
"Antje Vieth","3818","","","","Autor*in",""
"Jens Kastner","3819","","","","Autor*in",""
"Tanja Baumann","3831","","","","Autor*in",""
"Johanna Klute","4122","","","","Autor*in",""
"Hannah Göppert","4153","","","","Autor*in",""
"Verena Lucía Landes","4336","","","","Redaktionsmitglied","Guatemala"
"Luis Guillermo Velásquez","4440","","","","Autor*in","Guatemala"
"Kirsten Clodius","4476","","","","Autor*in",""
"Gabriela Soutello","4669","","","Gabriela Soutello ist Journalistin und lebt in São Paulo.


","Autor*in",""
"David Klässig","4673","","","","Autor*in",""
"Mirjana Jandik","4685","","","","Redaktionsmitglied",""
"Renan Monteiro Marques","4785","","","","Autor*in",""
"Freddy Pulecio","4786","","","","Autor*in",""
"Vinzenz Gabriel","4805","","","","Autor*in",""
"Walter Agredo Muñoz","4912","","","","Autor*in",""
"Kirstin Büttner","4921","","","","Autor*in",""
"Benjamin Loy","4927","","","","Autor*in",""
"Kassandra Kreß","5058","","","","Autor*in",""
"Alessandro de  Moura","5060","","","","Autor*in",""
"Jürgen Karwelat","5063","","","","Autor*in",""
"Ruth Schlette","5066","","","","Autor*in",""
"Fabian Drenkhan","5070","","","","Autor*in",""
"Ingo Stützle","5198","","","","Autor*in",""
